cui	original_text	bioportal_mappings
C0326287	ANT-THRUSH (ORGANISM)	[('ORGANISM', 'http://purl.obolibrary.org/obo/UBERON_0000468
C0449438	STATUS	[]
C1451297	ABCC1 PROTEIN, HUMAN	'ABCC1', 'http://purl.obolibrary.org/obo/PR_Q9C8G9')]
C0004034	ASPERGILLUS	[]
C0067895	CHIMERIN 1	[]
C0024171	LUTHERAN BLOOD-GROUP SYSTEM	
C1417777	NPC1L1 GENE	NPC1L1', 'http://purl.obolibrary.org/obo/PR_Q6T3U4')]
C1416572	KCNH2 GENE	KCNH2', 'http://purl.obolibrary.org/obo/PR_000000791')]
C3887682	PLATELET GLYCOPROTEIN 4, HUMAN	'PLATELET GLYCOPROTEIN 4', 'http://purl.obolibrary.org/obo/PR_000001905')]
C0020564	HYPERTROPHY	[]
C0018969	HEME OXYGENASE (DECYCLIZING)	[('HEME', 'http://purl.obolibrary.org/obo/CHEBI_30413
C0019905	HONDURAS	[]
C0003130	ANOXIA	[]
C1415875	IDE GENE	'IDE', 'http://purl.obolibrary.org/obo/PR_P22817')]
C1417826	NR1I2 GENE	NR1I2', 'http://purl.obolibrary.org/obo/PR_Q9R1A7')]
C2247789	SCRAMBLASE	[]
C0032824	POTASSIUM CHANNEL	[('POTASSIUM', 'http://purl.obolibrary.org/obo/CHEBI_26216')]
C0907533	NOS1 PROTEIN, HUMAN	NOS1', 'http://purl.obolibrary.org/obo/PR_000011326')]
C3714798	CYTOCHROME P-450 CYP3A4	CYP3A4', 'http://purl.obolibrary.org/obo/GO_0033780')]
C0439799	CHANNEL	[]
C1879645	ADVERSE EVENT BY CTCAE CATEGORY	[('ADVERSE EVENT', 'http://purl.obolibrary.org/obo/OAE_0000001')]
C0025266	MALE POPULATION GROUP	'MALE', 'http://purl.obolibrary.org/obo/UBERON_0003101
C3810541	ADVERSE EVENT EMERGENCY ROOM VISIT	[('ADVERSE EVENT', 'http://purl.obolibrary.org/obo/OAE_0000001')]
C0243044	HSP90 HEAT-SHOCK PROTEINS	HSP90', 'http://purl.obolibrary.org/obo/PR_P02829'
C0450345	1B	[]
C0034801	OPIOID RECEPTOR	[]
C3538806	AXIAL R	[('AXIAL', 'http://purl.obolibrary.org/obo/HP_0025287')]
C0207509	CYTOCHROME P-450 CYP1A2	CYP1A2', 'http://purl.obolibrary.org/obo/PR_P04799')]
C0876994	CARDIOTOXICITY	[]
C0086376	GTP-BINDING PROTEINS	GTP', 'http://purl.obolibrary.org/obo/CHEBI_37565
C3715113	HSD11B1 WT ALLELE	[('HSD11B1', 'http://purl.obolibrary.org/obo/PR_P28845')]
C0018284	GROWTH FACTOR	[('GROWTH', 'http://purl.obolibrary.org/obo/GO_0040007')]
C0001271	ACTINS	[]
C1420188	SLC35A2 GENE	SLC35A2', 'http://purl.obolibrary.org/obo/PR_P78381')]
C1420091	SLC12A2 GENE	SLC12A2', 'http://purl.obolibrary.org/obo/PR_A0A0G2KTI4')]
C0537026	UGT1A1 GENE	UGT1A1', 'http://purl.obolibrary.org/obo/PR_P22309')]
C1421330	UGT1A6 GENE	'UGT1A6', 'http://purl.obolibrary.org/obo/PR_P19224')]
C1421467	TRPV1 GENE	TRPV1', 'http://purl.obolibrary.org/obo/PR_O35433')]
C1422213	SLC12A5 GENE	SLC12A5', 'http://purl.obolibrary.org/obo/PR_000014928')]
C1415801	HTN3 GENE	HTN3', 'http://purl.obolibrary.org/obo/PR_000008832')]
C0010749	CYTOCHROMES C	[('CYTOCHROME', 'http://purl.obolibrary.org/obo/GO_0009458
C3714749	CYTOCHROME P-450 CYP2C19	CYP2C19', 'http://purl.obolibrary.org/obo/PR_P33261')]
C1414405	ENO3 GENE	'ENO3', 'http://purl.obolibrary.org/obo/PR_000007082')]
C0057223	CYTOCHROME P-450 CYP2D6	CYP2D6', 'http://purl.obolibrary.org/obo/PR_P10635')]
C3714751	DISEASE STEPS QUESTIONNAIRE	[('DISEASE', 'http://purl.obolibrary.org/obo/MONDO_0000001
C0038944	SURINAME	[]
C1122976	SAGE - DIETARY	
C0017755	GLUCOSE-6-PHOSPHATASE	[('GLUCOSE', 'http://purl.obolibrary.org/obo/CHEBI_4167
C1096063	DRUG RESISTANT EPILEPSY	'EPILEPSY', 'http://purl.obolibrary.org/obo/MONDO_0005027')]
C1416584	KCNJ2 GENE	KCNJ2', 'http://purl.obolibrary.org/obo/PR_Q64273')]
C1825588	IKZF1 GENE	IKZF1', 'http://purl.obolibrary.org/obo/PR_Q03267')]
C0665952	KILLER-CELL IMMUNOGLOBULIN-LIKE RECEPTOR	'IMMUNOGLOBULIN', 'http://purl.obolibrary.org/obo/GO_0003823')]
C3713294	MTR PROTEIN, HUMAN	'MTR', 'http://purl.obolibrary.org/obo/PR_000010747')]
C1412630	ATP1A3 GENE	ATP1A3', 'http://purl.obolibrary.org/obo/PR_P06687')]
C0027854	NEUROLOGIC MANIFESTATIONS	[]
C1418527	PHF1 GENE	PHF1', 'http://purl.obolibrary.org/obo/PR_P87233')]
C0032743	POSITRON-EMISSION TOMOGRAPHY	[('POSITRON', 'http://purl.obolibrary.org/obo/CHEBI_30225')]
C1704834	SHH WT ALLELE	[('SHH', 'http://purl.obolibrary.org/obo/PR_Q15465')]
C1565427	PTK2 PROTEIN, HUMAN	'PTK2', 'http://purl.obolibrary.org/obo/PR_Q00944')]
C1419253	RALBP1 GENE	RALBP1', 'http://purl.obolibrary.org/obo/PR_Q62172')]
C0009450	COMMUNICABLE DISEASES	[('DISEASE', 'http://purl.obolibrary.org/obo/MONDO_0000001
C1448177	TNF PROTEIN, HUMAN	'TNF', 'http://purl.obolibrary.org/obo/PR_P01375')]
C0037492	SODIUM CHANNEL	[('SODIUM', 'http://purl.obolibrary.org/obo/CHEBI_26708')]
C0016703	FRENCH GUIANA	[]
C3493221	LDLR PROTEIN, HUMAN	'LDLR', 'http://purl.obolibrary.org/obo/PR_000009744')]
C0243043	HEAT-SHOCK PROTEINS 70	[('PROTEINS', 'http://purl.obolibrary.org/obo/CHEBI_36080'
C0369773	P BLOOD GROUP ANTIBODIES	
C1565860	PTGS2 PROTEIN, HUMAN	PTGS2', 'http://purl.obolibrary.org/obo/PR_000013428')]
C0166441	GLUCOSE TRANSPORTER TYPE 4	[('GLUCOSE', 'http://purl.obolibrary.org/obo/CHEBI_4167')]
C2720167	SIRTUIN 1	[]
C0337879	NAVAHO (ETHNIC GROUP)	[('GROUP', 'http://purl.obolibrary.org/obo/CHEBI_24433')]
C2699239	SD, RAT STRAIN	[('RAT', 'http://purl.obolibrary.org/obo/NCBITaxon_10116')]
C0043444	DEMOCRATIC REPUBLIC OF THE CONGO	
C0022959	LACZ GENES	'LACZ', 'http://purl.obolibrary.org/obo/PR_000033987')]
C1456389	NOX1 GENE	'NOX1', 'http://purl.obolibrary.org/obo/PR_Q9Y5S8')]
C0162741	ARABIDOPSIS	[]
C0038187	STARVATION	[]
C2347781	CLINICAL BREAST EXAMINATION	[('BREAST', 'http://purl.obolibrary.org/obo/UBERON_0000310')]
C3540627	FMOD WT ALLELE	[('FMOD', 'http://purl.obolibrary.org/obo/PR_P50609')]
C0206579	SLOVAKIA	[]
C0521116	CURRENT (PRESENT TIME)	[('TIME', 'http://purl.obolibrary.org/obo/PATO_0000165')]
C0084844	TRESTOLONE	[]
C0871051	PAY	[]
C1384585	BLOOD GROUP ANTIGEN P2	BLOOD GROUP ANTIGEN', 'http://purl.obolibrary.org/obo/GO_0005555')]
C4553328	CLINICAL OUTCOME ASSESSMENT	[]
C0003250	MONOCLONAL ANTIBODIES	
C0030016	OXIDOREDUCTASE	[]
C0022202	ISOMERASE	[]
C1422163	CTCF GENE	CTCF', 'http://purl.obolibrary.org/obo/PR_Q9R1D1')]
C0166418	PEROXISOME PROLIFERATOR-ACTIVATED RECEPTORS	PEROXISOME', 'http://purl.obolibrary.org/obo/GO_0005777')]
C1425131	CHPT1 GENE	CHPT1', 'http://purl.obolibrary.org/obo/PR_Q8WUD6')]
C1418779	PPARGC1A GENE	PPARGC1A', 'http://purl.obolibrary.org/obo/PR_O70343')]
C3890397	PRKAA1 WT ALLELE	[('PRKAA1', 'http://purl.obolibrary.org/obo/PR_Q5EG47')]
C1413844	CYBB GENE	'CYBB', 'http://purl.obolibrary.org/obo/PR_P04839')]
C3814396	CYP3A GENE LOCUS	[('GENE', 'http://purl.obolibrary.org/obo/SO_0000704')]
C1421346	UGT2B7 GENE	UGT2B7', 'http://purl.obolibrary.org/obo/PR_Q62789')]
C0389304	PURINOCEPTOR P2X1	P2X1', 'http://purl.obolibrary.org/obo/PR_000012188')]
C0034830	NICOTINIC RECEPTORS	[]
C4050619	FLEXIBILITY INDEX	[('FLEXIBILITY', 'http://purl.obolibrary.org/obo/PATO_0001543')]
C0007620	CELL SURVIVAL	[('CELL', 'http://purl.obolibrary.org/obo/CL_0000000')]
C0022688	NATURAL KILLER CELLS	CELL', 'http://purl.obolibrary.org/obo/CL_0000000')]
C0022773	SOUTH KOREA	[]
C3811116	RNF130 WT ALLELE	[('RNF130', 'http://purl.obolibrary.org/obo/PR_Q8VEM1')]
C0108555	CASEIN KINASE II	[]
C0018799	HEART DISEASES	[('DISEASE', 'http://purl.obolibrary.org/obo/MONDO_0000001'
C0025517	METABOLIC DISEASES	[('DISEASE', 'http://purl.obolibrary.org/obo/MONDO_0000001
C0623362	MATRIX METALLOPROTEINASES	[('PROTEIN', 'http://purl.obolibrary.org/obo/CHEBI_36080
C0039941	THIOREDOXIN REDUCTASE (NADPH)	[('THIOREDOXIN REDUCTASE', 'http://purl.obolibrary.org/obo/PR_000013195'
C1415238	PTGDR2 GENE	PTGDR2', 'http://purl.obolibrary.org/obo/PR_000001547')]
C0083453	MDK PROTEIN, HUMAN	('MDK', 'http://purl.obolibrary.org/obo/PR_Q9R1S9')]
