agent_name	grounding	other_mapping	cui
C.F.; Hsu	(None, None)	{'TEXT': 'C.F.; Hsu'}	C0016327
C/EBP-	(None, None)	{'TEXT': 'C/EBP-β'}	C0108685
CB-PIC	(None, None)	{'TEXT': 'CB-PIC'}	C0014878
CLM-DOX	(None, None)	{'TEXT': 'CLM-DOX'}	C0013089
CNQX	(None, None)	{'TEXT': 'CNQX'}	C0099122
COX inhibitor	(None, None)	{'TEXT': 'COX inhibitor'}	C0085387
CPT- 11	(None, None)	{'TEXT': 'CPT- 11'}	C4317169
CYP  enzymes	(None, None)	{'TEXT': 'CYP  enzymes'}	C0010762
CYP  isoform	(None, None)	{'TEXT': 'CYP  isoform'}	C0010762
CYP2B1 isozymes	(None, None)	{'TEXT': 'CYP2B1 isozymes'}	C0070319
CYP3A	(None, None)	{'TEXT': 'CYP3A'}	C3814396
CYP450 isozymes	(None, None)	{'TEXT': 'CYP450 isozymes'}	C0010762
CaMKK	(None, None)	{'TEXT': 'CaMKKβ'}	C0383017
Cat- echin	(None, None)	{'TEXT': 'Cat- echin'}	C0007450
Cnidiadin	(None, None)	{'TEXT': 'Cnidiadin'}	C1619857
Corncob	(None, None)	{'TEXT': 'Corncob'}	C3667867
"CpG binding
protein"	(None, None)	{'TEXT': 'CpG binding\nprotein'}	C0056912
CsHAK11 transcript	(None, None)	{'TEXT': 'CsHAK11 transcript'}	C1519595
Cyanidin	(None, None)	{'PUBCHEM': '68247', 'TEXT': 'Cyanidin'}	C0056650
D1/5 receptor	(None, None)	{'TEXT': 'D1/5 receptor'}	C0058697
DCF	(None, None)	{'TEXT': 'DCF'}	C0030896
DH Shin	(None, None)	{'TEXT': 'DH Shin'}	C1832586
DHE	(None, None)	{'TEXT': 'DHE'}	C0058031
DHPAA	(None, None)	{'TEXT': 'DHPAA'}	C0619238
DISCUSSION DE-miRNAs	(None, None)	{'TEXT': 'DISCUSSION DE-miRNAs'}	C1101610
DNA topoisomerase	(None, None)	{'PF': 'PF01131', 'TEXT': 'DNA topoisomerase'}	C0012920
DNR	(None, None)	{'TEXT': 'DNR'}	C0011015
DOX	(None, None)	{'TEXT': 'DOX'}	C0013089
DOX-	(None, None)	{'TEXT': 'DOX-'}	C0013089
DOX-TNP	(None, None)	{'TEXT': 'DOX-TNP'}	C0013089
Daniel  F	(None, None)	{'TEXT': 'Daniel  F'}	C0016327
Dextran-Catechin	(None, None)	{'TEXT': 'Dextran-Catechin'}	C0007404
ECG-	(None, None)	{'TEXT': 'ECG-'}	C1623258
EE-EGCG	(None, None)	{'TEXT': 'EE-EGCG'}	C0059438
EGCG-	(None, None)	{'TEXT': 'EGCG-'}	C0059438
EGCG/TF	(None, None)	{'TEXT': 'EGCG/TF'}	C4048299
EGCGand GSE-	(None, None)	{'TEXT': 'EGCGand GSE-'}	C4285349
EGCg-	(None, None)	{'TEXT': 'EGCg-'}	C0059438
EGFR  inhibitor	(None, None)	{'TEXT': 'EGFR  inhibitor'}	C1443775
"EGFR 
ligands"	(None, None)	{'TEXT': 'EGFR \nligands'}	C1739039
EGFR inhibitor	(None, None)	{'TEXT': 'EGFR inhibitor'}	C1443775
El-Abaseri	(None, None)	{'TEXT': 'El-Abaseri'}	C1447747
Enzyme	(None, None)	{'TEXT': 'Enzyme'}	C0014442
Epigallocatechin-	(None, None)	{'TEXT': 'Epigallocatechin-'}	C2348459
"Epigallocatechin
Gallate"	(None, None)	{'TEXT': 'Epigallocatechin\nGallate'}	C2348459
Erk MAPK inhibitor	(None, None)	{'TEXT': 'Erk MAPK inhibitor'}	C3849574
Extracellular flux	(None, None)	{'TEXT': 'Extracellular flux'}	C2348693
F., Salami	(None, None)	{'TEXT': 'F., Salami'}	C0016327
F.H.;  Moumtzi,  S.;  Roberts	(None, None)	{'TEXT': 'F.H.;  Moumtzi,  S.;  Roberts'}	C0033727
FBRS	(None, None)	{'NCIT': 'C113696', 'TEXT': 'FBS'}	C3812213
FCT grant SFRH/BD/19445/2004	(None, None)	{'TEXT': 'FCT grant SFRH/BD/19445/2004'}	C0005126
FU	(None, None)	{'TEXT': 'FU'}	C0016360
Faecalibaculum.36,37	(None, None)	{'TEXT': 'Faecalibaculum.36,37'}	C4319606
Farhan et al., 2016	(None, None)	{'TEXT': 'Farhan et al., 2016'}	C0040028
Fe2	(None, None)	{'TEXT': 'Fe2'}	C2346592
Figlin R	(None, None)	{'TEXT': 'Figlin R'}	C0684010
Formalin	(None, None)	{'TEXT': 'Formalin'}	C0949307
Further-	(None, None)	{'TEXT': 'Further-'}	C1517331
GABAA re- ceptors	(None, None)	{'TEXT': 'GABAA re- ceptors'}	C2986904
GABAA receptors	(None, None)	{'TEXT': 'GABAA receptors'}	C0034807
GF109203X	(None, None)	{'TEXT': 'GF109203X'}	C0119104
GHB	(None, None)	{'IP': 'IPR001545', 'TEXT': 'GHB'}	C0673093
GI-GPx EpRE	(None, None)	{'TEXT': 'GI-GPx EpRE'}	C3539631
GSPE indepen-	(None, None)	{'TEXT': 'GSPE indepen-'}	C0967936
GTD	(None, None)	{'TEXT': 'GTD'}	C2698419
GTPs	(None, None)	{'TEXT': 'GTPs'}	C0018353
GW 5074	(None, None)	{'PUBCHEM': '5034', 'TEXT': 'GW 5074', 'HMS-LINCS': '10029', 'LINCS': 'LSM-1029'}	C1506054
Garlid KD	(None, None)	{'TEXT': 'Garlid KD'}	C1839259
Gingko	(None, None)	{'TEXT': 'Gingko'}	C0330206
Guo	(None, None)	{'PUBCHEM': '6802', 'TEXT': 'Guo'}	C0018330
HFD.43 Sheng et al.21	(None, None)	{'TEXT': 'HFD.43 Sheng et al.21'}	C0040028
HFS	(None, None)	{'TEXT': 'HFS'}	C2745948
HLM	(None, None)	{'TEXT': 'HLM'}	C4084881
HR CD44	(None, None)	{'TEXT': 'HR CD44'}	C1097299
Haemophilus  ducreyi  cytolethal distending  toxin	(None, None)	{'TEXT': 'Haemophilus  ducreyi  cytolethal distending  toxin'}	C0018481
Hdac inhibitors	(None, None)	{'TEXT': 'Hdac inhibitors'}	C1512474
Hsa-mir-98-5p	(None, None)	{'TEXT': 'Hsa-mir-98-5p'}	C1521452
I-3-C	(None, None)	{'TEXT': 'I-3-C'}	C1515146
ICZ	(None, None)	{'TEXT': 'ICZ'}	C0064113
IR-IRS-1	(None, None)	{'TEXT': 'IR-IRS-1'}	C0022065
IRI	(None, None)	{'TEXT': 'IRI'}	C0022077
IRS-1/-2	(None, None)	{'TEXT': 'IRS-1/-2'}	C1334191
ISO	(None, None)	{'TEXT': 'ISO'}	C1668248
Indomethacin	(None, None)	{'TEXT': 'Indomethacin'}	C0021246
Ion Channels	(None, None)	{'TEXT': 'Ion Channels'}	C0022023
Ischiropoulos H. Effects	(None, None)	{'TEXT': 'Ischiropoulos H. Effects'}	C0033727
JM-II-43A	(None, None)	{'TEXT': 'JM-II-43A'}	C0022337
JNK MAPK inhibitor	(None, None)	{'TEXT': 'JNK MAPK inhibitor'}	C1999216
Jia K	(None, None)	{'TEXT': 'Jia K'}	C3495559
K. L., Shao, L., Chan	(None, None)	{'TEXT': 'K. L., Shao, L., Chan'}	C3642217
KATP channels	(None, None)	{'TEXT': 'KATP channels'}	C1955862
KB-vin	(None, None)	{'TEXT': 'KB-vin'}	C3813110
"Kagota S, Shinozuka K,
Hattori A"	(None, None)	{'TEXT': 'Kagota S, Shinozuka K,\nHattori A'}	C1708601
Ki2	(None, None)	{'TEXT': 'Ki2'}	C0450662
K	(None, None)	{'TEXT': 'K⫹'}	C1708601
L-trans-2	(None, None)	{'TEXT': 'L-trans-2'}	C3642217
LLC-GA5-	(None, None)	{'TEXT': 'LLC-GA5-'}	C4698069
LLC-PK1	(None, None)	{'TEXT': 'LLC-PK1'}	C0701488
Ligand-	(None, None)	{'TEXT': 'Ligand-'}	C0023688
LncRNA NEAT1	(None, None)	{'TEXT': 'LncRNA NEAT1'}	C2982391
LncRNA UCA1	(None, None)	{'TEXT': 'LncRNA UCA1'}	C2982391
Ltd	(None, None)	{'PF': 'PF00932', 'TEXT': 'Ltd'}	C1136140
M.L.;  Sasazuki	(None, None)	{'TEXT': 'M.L.;  Sasazuki'}	C0456616
MATE	(None, None)	{'PF': 'PF01554', 'TEXT': 'MATE'}	C0682323
MDCK-II	(None, None)	{'TEXT': 'MDCK-II'}	C4082587
MDR-1 proteins	(None, None)	{'TEXT': 'MDR-1 proteins'}	C0242643
"MEK1/2
inhibitor"	(None, None)	{'TEXT': 'MEK1/2\ninhibitor'}	C0169101
MLA	(None, None)	{'TEXT': 'MLA'}	C0599973
MPP+	(None, None)	{'TEXT': 'MPP+'}	C0000098
MRP1 inhibitor	(None, None)	{'TEXT': 'MRP1 inhibitor'}	C1701084
MSG	(None, None)	{'PF': 'PF02349', 'TEXT': 'MSG'}	C0037511
MexAB-OprM	(None, None)	{'TEXT': 'MexAB-OprM'}	C1417965
NADPH oxidase inhibitor	(None, None)	{'TEXT': 'NADPH oxidase inhibitor'}	C0068355
NASH	(None, None)	{'TEXT': 'NASH'}	C4529962
NAs	(None, None)	{'PF': 'PF03059', 'TEXT': 'NAs'}	C0027446
NEAT1	(None, None)	{'TEXT': 'NEAT1'}	C2681866
NF-jB p65	(None, None)	{'TEXT': 'NF-jB p65'}	C1453853
NF-jB	(None, None)	{'TEXT': 'NF-jB'}	C1550751
NM	(None, None)	{'TEXT': 'NM'}	C0312860
NMDA  receptor	(None, None)	{'TEXT': 'NMDA  receptor'}	C0080093
NMDA receptor	(None, None)	{'TEXT': 'NMDA receptor'}	C0080093
NMDA-	(None, None)	{'TEXT': 'NMDA-'}	C0079883
NMDAR	(None, None)	{'TEXT': 'NMDAR'}	C0080093
NMP	(None, None)	{'TEXT': 'NMP'}	C0044438
NO-	(None, None)	{'TEXT': 'NO-'}	C0028128
NOS inhibitors	(None, None)	{'TEXT': 'NOS inhibitors'}	C1373060
NSCLC	(None, None)	{'TEXT': 'NSCLC'}	C0007131
Na+	(None, None)	{'TEXT': 'Na+'}	C1879645
Na+/H+ exchanger	(None, None)	{'IP': 'IPR004709', 'TEXT': 'Na+/H+ exchanger'}	C0074785
Nam	(None, None)	{'PF': 'PF02365', 'TEXT': 'Nam'}	C0027366
Net Ca2+ Flux	(None, None)	{'TEXT': 'Net Ca2+ Flux'}	C1456447
Nobiletin	(None, None)	{'TEXT': 'Nobiletin'}	C0062638
OA-	(None, None)	{'TEXT': 'OA-'}	C0029408
OATP1B1 inhibitor	(None, None)	{'TEXT': 'OATP1B1 inhibitor'}	C1999216
OPC	(None, None)	{'TEXT': 'OPC'}	C4330852
Ohishi K	(None, None)	{'TEXT': 'Ohishi K'}	C1708601
Oracin	(None, None)	{'TEXT': 'Oracin'}	C0533870
OsHAK5 transcript	(None, None)	{'TEXT': 'OsHAK5 transcript'}	C1519595
P2X4-receptor	(None, None)	{'TEXT': 'P2X4-receptor'}	C0384613
PAs	(None, None)	{'PF': 'PF00989', 'TEXT': 'PAs'}	C0030125
PBP-1-PBP-4	(None, None)	{'TEXT': 'PBP-1-PBP-4'}	C0755397
PF-03084014	(None, None)	{'TEXT': 'PF-03084014'}	C2830067
PGC-1	(None, None)	{'TEXT': 'PGC-1β'}	C1418503
PGG	(None, None)	{'PF': 'PF13962', 'TEXT': 'PGG'}	C0033563
PI3K/Akt/mTOR	(None, None)	{'TEXT': 'PI3K/Akt/mTOR'}	C0164786
PKA inhibitor	(None, None)	{'TEXT': 'PKA inhibitor'}	C0243459
PKC MAPK	(None, None)	{'TEXT': 'PKC MAPK'}	C4552000
PKC inhibitor	(None, None)	{'TEXT': 'PKC inhibitor'}	C4552000
PKC inhibitors	(None, None)	{'TEXT': 'PKC inhibitors'}	C4552000
PKC	(None, None)	{'TEXT': 'PKCζ'}	C0033634
Paigen-type diet	(None, None)	{'TEXT': 'Paigen-type diet'}	C0012155
"Pathways
 HANA SATONAKA1"	(None, None)	{'TEXT': 'Pathways\n HANA SATONAKA1'}	C1704259
Peyrou et al. [3]	(None, None)	{'TEXT': 'Peyrou et al. [3]'}	C0040028
Phase I enzymes	(None, None)	{'TEXT': 'Phase I enzymes'}	C0014445
Phase II enzymes	(None, None)	{'TEXT': 'Phase II enzymes'}	C0014445
Phosphatidylinositol-3 kinase	(None, None)	{'TEXT': 'Phosphatidylinositol-3 kinase'}	C0044602
Plasmin	(None, None)	{'IP': 'IPR023317', 'TEXT': 'Plasmin'}	C0016016
Polyphenon-B	(None, None)	{'TEXT': 'Polyphenon-B'}	C1679369
Proanthocyanidins	(None, None)	{'TEXT': 'Proanthocyanidins'}	C0919289
Procyanidin	(None, None)	{'TEXT': 'Procyanidin'}	C0072061
QU	(None, None)	{'TEXT': 'QU'}	C4053566
RA- FLSs	(None, None)	{'TEXT': 'RA- FLSs'}	C3538806
RBCs	(None, None)	{'PF': 'PF12338', 'TEXT': 'RBCs'}	C0014792
RNA Ligase	(None, None)	{'PF': 'PF09414', 'TEXT': 'RNA Ligase'}	C0032589
RNA ligase	(None, None)	{'PF': 'PF09414', 'TEXT': 'RNA ligase'}	C0032589
Radix Processa	(None, None)	{'TEXT': 'Radix Processa'}	C0242726
Raf-1 inhibitor	(None, None)	{'TEXT': 'Raf-1 inhibitor'}	C1999216
Rao PS	(None, None)	{'TEXT': 'Rao PS'}	C0242397
Rehmannia glutinosa Libosch	(None, None)	{'TEXT': 'Rehmannia glutinosa Libosch'}	C1094557
S.K.;  Matsui	(None, None)	{'TEXT': 'S.K.;  Matsui'}	C1708601
SA-3C 61	(None, None)	{'TEXT': 'SA-3C (61)'}	C0038702
SIRT1 inhibitors	(None, None)	{'TEXT': 'SIRT1 inhibitors'}	C2720167
STAT1 inhibitor	(None, None)	{'TEXT': 'STAT1 inhibitor'}	C1432814
Smoke	(None, None)	{'TEXT': 'Smoke'}	C0037366
T.B.;  Putta,  S.;  Hansen	(None, None)	{'TEXT': 'T.B.;  Putta,  S.;  Hansen'}	C2603360
T.H.;  Tsai	(None, None)	{'TEXT': 'T.H.;  Tsai'}	C0033727
TCDD	(None, None)	{'TEXT': 'TCDD'}	C0039635
TEA	(None, None)	{'PF': 'PF01285', 'TEXT': 'TEA'}	C0039400
TK inhibitors	(None, None)	{'TEXT': 'TK inhibitors'}	C1268567
TNF-	(None, None)	{'TEXT': 'TNF-␣'}	C1448177
TRAIL Tumor  necrosis factor	(None, None)	{'TEXT': 'TRAIL Tumor  necrosis factor'}	C1456820
TRPV1 receptors	(None, None)	{'TEXT': 'TRPV1 receptors'}	C1564816
TRPV3 inhibitor	(None, None)	{'TEXT': 'TRPV3 inhibitor'}	C1999216
TUNEL	(None, None)	{'TEXT': 'TUNEL'}	C0600528
Takagi K	(None, None)	{'TEXT': 'Takagi K'}	C1708601
"Takahashi H.
Nanomolar"	(None, None)	{'TEXT': 'Takahashi H.\nNanomolar'}	C0033727
Takizawa K	(None, None)	{'TEXT': 'Takizawa K'}	C1708601
Tan	(None, None)	{'PF': 'PF11640', 'TEXT': 'Tan'}	C0302595
Tea	(None, None)	{'PF': 'PF01285', 'TEXT': 'Tea'}	C0039400
U46619	(None, None)	{'TEXT': 'U46619'}	C0917834
UCPs	(None, None)	{'TEXT': 'UCPs'}	C1421313
UV-B	(None, None)	{'TEXT': 'UV-B'}	C0041625
Utsumi S. Endotoxin-	(None, None)	{'TEXT': 'Utsumi S. Endotoxin-'}	C0014264
VBL	(None, None)	{'TEXT': 'VBL'}	C0042670
VER	(None, None)	{'TEXT': 'VER'}	C0302357
WILEY-VCH Verlag GmbH & Co. KGaA	(None, None)	{'TEXT': 'WILEY-VCH Verlag GmbH & Co. KGaA'}	C3245499
XH	(None, None)	{'PF': 'PF03469', 'TEXT': 'XH'}	C4050013
XS	(None, None)	{'PF': 'PF03468', 'TEXT': 'XS'}	C3887995
Xu	(None, None)	{'TEXT': 'Xu'}	C3846574
Yoxall 655 27 Dhawan A, Anderson D, de Pascual-Teresa S	(None, None)	{'TEXT': 'Yoxall 655 27 Dhawan A, Anderson D, de Pascual-Teresa S'}	C0011198
Z- VAD-FMK	(None, None)	{'TEXT': 'Z- VAD-FMK'}	C0383779
Zhu MX	(None, None)	{'TEXT': 'Zhu MX'}	C0025885
Zinc Importer	(None, None)	{'TEXT': 'Zinc Importer'}	C0043481
Zinc	(None, None)	{'TEXT': 'Zinc'}	C0043481
a1-ADR	(None, None)	{'TEXT': 'a1-ADR'}	C0041755
a7-nAChR inhibitors	(None, None)	{'TEXT': 'a7-nAChR inhibitors'}	C0243077
a7-nAChR	(None, None)	{'TEXT': 'a7-nAChR'}	C1148665
a9-nAChR protein	(None, None)	{'TEXT': 'a9-nAChR protein'}	C0033684
adenomatous polyposis coli	(None, None)	{'IP': 'IPR026836', 'TEXT': 'adenomatous polyposis coli'}	C0032580
air	(None, None)	{'TEXT': 'air'}	C3536832
alamethicin	(None, None)	{'TEXT': 'alamethicin'}	C0001897
aldo-keto reductases	(None, None)	{'TEXT': 'aldo-keto reductases'}	C4317070
amorphigenin	(None, None)	{'TEXT': 'amorphigenin'}	C0627638
ant	(None, None)	{'PF': 'PF03374', 'TEXT': 'ant'}	C0003455
anti-fas  antibody	(None, None)	{'TEXT': 'anti-fas  antibody'}	C0003242
arginase	(None, None)	{'PF': 'PF00491', 'TEXT': 'arginase'}	C0003762
aromatase inhibitors	(None, None)	{'TEXT': 'aromatase inhibitors'}	C0593802
"aromatase
inhibitors"	(None, None)	{'TEXT': 'aromatase\ninhibitors'}	C0003805
"aryl
hydrocarbon receptor"	(None, None)	{'TEXT': 'aryl\nhydrocarbon receptor'}	C0597357
atypical protein kinase C.	(None, None)	{'TEXT': 'atypical protein kinase C.'}	C0758621
avonoid family	(None, None)	{'TEXT': 'avonoid family'}	C0015576
bene	(None, None)	{'TEXT': 'beneﬁ'}	C1416990
butyl-EGCG	(None, None)	{'TEXT': 'butyl-EGCG'}	C0059438
cGMP	(None, None)	{'PUBCHEM': '24316', 'TEXT': 'cGMP'}	C0018338
calcitonin gene-related peptide	(None, None)	{'IP': 'IPR015476', 'TEXT': 'calcitonin gene-related peptide'}	C0006669
cap- saicin	(None, None)	{'TEXT': 'cap- saicin'}	C4522312
capsaicin-	(None, None)	{'TEXT': 'capsaicin-'}	C0006931
caspase-3 inhibitor	(None, None)	{'TEXT': 'caspase-3 inhibitor'}	C1516312
catalase inhibitor	(None, None)	{'TEXT': 'catalase inhibitor'}	C0007367
cate- + -ATPase	(None, None)	{'TEXT': 'cate- + -ATPase'}	C0001473
chalcone	(None, None)	{'PF': 'PF02431', 'TEXT': 'chalcone'}	C0007935
circRNA212/533- miR171b-3p_2-DELLA-MYC2 modules	(None, None)	{'TEXT': 'circRNA212/533- miR171b-3p_2-DELLA-MYC2 modules'}	C1709061
cmeB gene	(None, None)	{'TEXT': 'cmeB gene'}	C0017337
collagen-, AA-, U46619-,	(None, None)	{'TEXT': 'collagen-, AA-, U46619-,'}	C0917834
com- plexes I and II substrates	(None, None)	{'TEXT': 'com- plexes I and II substrates'}	C0021966
cyanidin	(None, None)	{'PUBCHEM': '68247', 'TEXT': 'cyanidin'}	C0056650
cytochromes P450IIE1	(None, None)	{'TEXT': 'cytochromes P450IIE1'}	C0010798
daidzin	(None, None)	{'TEXT': 'daidzin'}	C0057091
dexamethasone-induced	(None, None)	{'PF': 'PF15198', 'TEXT': 'dexamethasone-induced'}	C0011777
en- capsulated DOX cargo	(None, None)	{'TEXT': 'en- capsulated DOX cargo'}	C0013089
"en-
zymes"	(None, None)	{'TEXT': 'en-\nzymes'}	C0014908
endogenous transporters	(None, None)	{'TEXT': 'endogenous transporters'}	C0596902
esterase	(None, None)	{'PF': 'PF00756', 'TEXT': 'esterase'}	C0014894
faba	(None, None)	{'PF': 'PF07977', 'TEXT': 'faba'}	C1150936
fgy1 mutation	(None, None)	{'TEXT': 'fgy1 mutation'}	C0026882
full-length TT12 cDNA	(None, None)	{'TEXT': 'full-length TT12 cDNA'}	C0006556
fungal TMEM16 homologs	(None, None)	{'TEXT': 'fungal TMEM16 homologs'}	C0016832
gel	(None, None)	{'IP': 'IPR007122', 'TEXT': 'gel'}	C0017243
glutamate-	(None, None)	{'TEXT': 'glutamate-'}	C0220839
glycoprotein  inhibitor	(None, None)	{'TEXT': 'glycoprotein  inhibitor'}	C0017968
gp91ds-tat	(None, None)	{'TEXT': 'gp91ds-tat'}	C3897364
haemin	(None, None)	{'PUBCHEM': '455658', 'TEXT': 'haemin'}	C0018988
hy- perinsulinemia	(None, None)	{'TEXT': 'hy- perinsulinemia'}	C1539791
hydrocarbon  receptor-	(None, None)	{'TEXT': 'hydrocarbon  receptor-'}	C0020242
hydrocarbon receptor	(None, None)	{'TEXT': 'hydrocarbon receptor'}	C0020242
images	(None, None)	{'TEXT': 'images'}	C1704922
"in-
sulin"	(None, None)	{'TEXT': 'in-\nsulin'}	C1707101
insulin.1	(None, None)	{'TEXT': 'insulin.1'}	C0021641
lM/2 lM	(None, None)	{'TEXT': 'lM/2 lM'}	C1261082
lipase	(None, None)	{'PF': 'PF00151', 'TEXT': 'lipase'}	C0023764
low-density lipo- protein	(None, None)	{'TEXT': 'low-density lipo- protein'}	C0242972
mate	(None, None)	{'PF': 'PF01554', 'TEXT': 'mate'}	C0682323
metalloproteinases	(None, None)	{'TEXT': 'metalloproteinases'}	C0025543
miR-1/206	(None, None)	{'TEXT': 'miR-1/206'}	C2826011
microRNA-27a-3p	(None, None)	{'TEXT': 'microRNA-27a-3p'}	C0796477
ml	(None, None)	{'TEXT': 'ml\x001'}	C0439526
monocarboxylate transporter	(None, None)	{'IP': 'IPR004743', 'TEXT': 'monocarboxylate transporter'}	C0596902
nAChR inhibitors	(None, None)	{'TEXT': 'nAChR inhibitors'}	C0243077
nam	(None, None)	{'PF': 'PF02365', 'TEXT': 'nam'}	C0027366
nmol L TCDD	(None, None)	{'TEXT': 'nmol L TCDD'}	C0039635
p-PKA puncta	(None, None)	{'TEXT': 'p-PKA puncta'}	C1500338
p38  MAPK  inhibitor	(None, None)	{'TEXT': 'p38  MAPK  inhibitor'}	C1120843
p38 MAPK inhibitor	(None, None)	{'TEXT': 'p38 MAPK inhibitor'}	C1120843
pBad Pathways	(None, None)	{'TEXT': 'pBad Pathways'}	C1704259
pSilence-NRF2-B	(None, None)	{'TEXT': 'pSilence-NRF2-B'}	C0118522
paw	(None, None)	{'PF': 'PF04721', 'TEXT': 'paw'}	C0687080
penta-O-galloyl-	(None, None)	{'TEXT': 'penta-O-galloyl-'}	C0030858
peroxidase	(None, None)	{'PF': 'PF00141', 'TEXT': 'peroxidase'}	C0027021
phRL-TK	(None, None)	{'TEXT': 'phRL-TK'}	C0220928
phosphatidylinositol-3- kinase	(None, None)	{'TEXT': 'phosphatidylinositol-3- kinase'}	C0044602
phosphoinositide- dependent kinase 1	(None, None)	{'TEXT': 'phosphoinositide- dependent kinase 1'}	C0089793
potassium channel inhibitor	(None, None)	{'TEXT': 'potassium channel inhibitor'}	C0032824
protein tyrosine kinase inhibitors	(None, None)	{'TEXT': 'protein tyrosine kinase inhibitors'}	C1268567
proteinase inhibitor	(None, None)	{'TEXT': 'proteinase inhibitor'}	C0033607
"proton
pump"	(None, None)	{'TEXT': 'proton\npump'}	C0033727
prourokinase	(None, None)	{'TEXT': 'prourokinase'}	C0141582
quercetin-	(None, None)	{'TEXT': 'quercetin-'}	C0034392
"reactive  oxygen
species"	(None, None)	{'TEXT': 'reactive  oxygen\nspecies'}	C0030054
recombinant MaT5	(None, None)	{'TEXT': 'recombinant MaT5'}	C1514798
ribosomal protein L	(None, None)	{'TEXT': 'ribosomal protein L'}	C0035552
rifampicin-	(None, None)	{'TEXT': 'rifampicin-'}	C0035608
ryanodine receptor	(None, None)	{'IP': 'IPR013333', 'TEXT': 'ryanodine receptor'}	C0054493
"secon-
dary transporters"	(None, None)	{'TEXT': 'secon-\ndary transporters'}	C0596902
"signal
transduction"	(None, None)	{'TEXT': 'signal\ntransduction'}	C1710082
stenophyllinin A 50 mM	(None, None)	{'TEXT': 'stenophyllinin A 50 mM'}	C4554674
